gutenberg_id,text,title,author
27062,Gdybyś mą przyjaźń z kwitkiem tak zostawił.,Romeo I Julia,ShakespearePaszkowski
27062,"*Romeo.* Ach! ja nie jestem tu, nie jestem sobą;",Romeo I Julia,ShakespearePaszkowski
27062,"To nie Romeo, co rozmawia z tobą.",Romeo I Julia,ShakespearePaszkowski
27062,*Benwolio.* Kogóż to kochasz? mów.,Romeo I Julia,ShakespearePaszkowski
27062,*Romeo.*                          Przestań mię dręczyć,Romeo I Julia,ShakespearePaszkowski
27062,Mamże wraz jęczyć i mówić?,Romeo I Julia,ShakespearePaszkowski
27062,"*Benwolio.*                Nie jęczyć,",Romeo I Julia,ShakespearePaszkowski
27062,Tylko mi klucz dać do tego problemu.,Romeo I Julia,ShakespearePaszkowski
27062,Kogóż to kochasz? powiedz!,Romeo I Julia,ShakespearePaszkowski
27062,*Romeo.*                  Każ choremu,Romeo I Julia,ShakespearePaszkowski
27062,Pisać testament: będzież to wezwanie,Romeo I Julia,ShakespearePaszkowski
27062,"Dobre dla tego, co jest w tak złym stanie?",Romeo I Julia,ShakespearePaszkowski
27062,A więc kobietę kocham.,Romeo I Julia,ShakespearePaszkowski
27062,"*Benwolio.*            Celniem mierzył,",Romeo I Julia,ShakespearePaszkowski
